fecha,hora,precio,weekday
1997-09-08,11.5,92.29306666666668,0
1997-09-09,11.5,87.6139,1
1997-09-10,11.5,74.37081666666667,2
1997-09-11,11.5,78.48423333333334,3
1997-09-12,11.5,95.6614,4
1997-09-13,11.5,132.6889833333333,5
1997-09-14,11.5,117.31644166666666,6
1997-09-15,11.5,170.3764,0
1997-09-16,11.5,154.46335833333333,1
1997-09-17,11.5,162.92098333333334,2
1997-09-18,11.5,185.0421083333333,3
1997-09-19,11.5,194.6114,4
1997-09-20,11.5,231.3764,5
1997-09-21,11.5,213.8764,6
1997-09-22,11.5,212.83473333333333,0
1997-09-23,11.5,214.32173333333333,1
1997-09-24,11.5,191.7114,2
1997-09-25,11.5,184.12598333333327,3
1997-09-26,11.5,131.78044166666666,4
1997-09-27,11.5,147.75223333333335,5
1997-09-28,11.5,117.34248333333332,6
1997-09-29,11.5,141.178525,0
1997-09-30,11.5,183.09115,1
1997-10-01,11.5,184.7684033333333,2
1997-10-02,11.5,185.94407,3
1997-10-03,11.5,146.58748666666665,4
1997-10-04,11.5,85.11273666666666,5
1997-10-05,11.5,68.54215333333333,6
1997-10-06,11.5,79.94190333333333,0
1997-10-07,11.5,94.89607,1
1997-10-08,11.5,96.84957,2
1997-10-09,11.5,101.60257,3
1997-10-10,11.5,174.08773666666664,4
1997-10-11,11.5,158.21232,5
1997-10-12,11.5,124.64773666666666,6
1997-10-13,11.5,115.94177833333332,0
1997-10-14,11.5,165.01698666666667,1
1997-10-15,11.5,144.85915333333332,2
1997-10-16,11.5,172.04607,3
1997-10-17,11.5,146.65490333333332,4
1997-10-18,11.5,130.58773666666664,5
1997-10-19,11.5,102.99398666666669,6
1997-10-20,11.5,154.18502833333332,0
1997-10-21,11.5,176.48398666666665,1
1997-10-22,11.5,159.92107,2
1997-10-23,11.5,138.52648666666667,3
1997-10-24,11.5,147.21273666666664,4
1997-10-25,11.5,145.42107,5
1997-10-26,11.5,109.72315333333331,6
1997-10-27,11.5,133.9044033333333,0
1997-10-28,11.5,151.46273666666664,1
1997-10-29,11.5,150.2849858333333,2
1997-10-30,11.5,150.04607,3
1997-10-31,11.5,154.49731999999997,4
1997-11-01,11.5,138.48145,5
1997-11-02,11.5,76.393325,6
1997-11-03,11.5,70.987325,0
1997-11-04,11.5,125.36765791666666,1
1997-11-05,11.5,124.81061666666666,2
1997-11-06,11.5,123.37511666666666,3
1997-11-07,11.5,131.38124166666665,4
1997-11-08,11.5,122.64236666666666,5
1997-11-09,11.5,135.38078333333334,6
1997-11-10,11.5,120.10565833333334,0
1997-11-11,11.5,149.10303333333334,1
1997-11-12,11.5,175.6647,2
1997-11-13,11.5,191.6955333333333,3
1997-11-14,11.5,172.7897,4
1997-11-15,11.5,134.55636666666666,5
1997-11-16,11.5,134.61553333333333,6
1997-11-17,11.5,139.58803333333333,0
1997-11-18,11.5,138.7447,1
1997-11-19,11.5,135.7372,2
1997-11-20,11.5,134.4872,3
1997-11-21,11.5,145.77886666666666,4
1997-11-22,11.5,135.15386666666666,5
1997-11-23,11.5,123.8872,6
1997-11-24,11.5,123.18553333333334,0
1997-11-25,11.5,135.3022,1
1997-11-26,11.5,133.76311666666666,2
1997-11-27,11.5,145.0902,3
1997-11-28,11.5,125.52886666666666,4
1997-11-29,11.5,117.13636666666667,5
1997-11-30,11.5,112.32136666666668,6
1997-12-01,11.5,133.56683333333334,0
1997-12-02,11.5,135.461125,1
1997-12-03,11.5,141.83587500000002,2
1997-12-04,11.5,134.267875,3
1997-12-05,11.5,129.73758333333333,4
1997-12-06,11.5,136.92854166666666,5
